dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2221,1,0.1,0.01,[20],40,0.347,25.824233524035662,0.14153395,0.11106783,0.17538768
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2222,2,0.1,0.01,[20],40,0.326,14.471478073159233,0.15146689,0.11933886,0.18894083
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2223,3,0.1,0.01,[20],40,0.347,13.982571452856064,0.1424979,0.11078705,0.17840588
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2224,4,0.1,0.01,[20],40,0.363,14.244355774018914,0.11839899,0.08812001,0.14389805
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2225,5,0.1,0.01,[20],40,0.341,13.924685007892549,0.14639564,0.11156413,0.17994564
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2226,6,0.1,0.01,[20],40,0.335,13.97482574521564,0.14409053,0.11352336,0.17554367
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2227,7,0.1,0.01,[20],40,0.349,13.883916049962863,0.14006706,0.10887229,0.17523012
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2228,8,0.1,0.01,[20],40,0.387,13.611374722095206,0.11877619,0.08833968,0.14308096
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2229,9,0.1,0.01,[20],40,0.353,13.610512239858508,0.14145013,0.10672103,0.17400668
ml-1m,mf,35,Age,proportional,1.0,"{""1"": 0.04580152671755725, ""18"": 0.22756344130389933, ""25"": 0.43243243243243246, ""45"": 0.11347225087683104, ""50"": 0.10233133897256035, ""56"": 0.07839900969671962}",2,2230,10,0.1,0.01,[20],40,0.347,14.414106357842684,0.1450964,0.11142164,0.17815015
